CC,Tienda, ADT 15-Ago , ADT 16-Ago , ADT 17-Ago ," USD 
Unicornio Frappuccino ", USD Cake Pop Unicornio 
38583,Andamar, 621 , 579 , 399 , 66 , 28 
38585,Oasis II, 401 , 352 , 251 , 39 , 16 
38582,Paseo Sendero, 609 , 525 , 440 , 60 , 27 
38587,Plateros, 267 , 233 , 247 , 60 , 22 
38584,Plaza Sienna, 156 , 129 , 265 , 12 , 6 
38590,Parque Toreo II, 499 , 442 , 477 , 94 , 35 
38586,Cozumel Pama, 281 , 254 , 242 , 48 , 19 
38594,Carretera Mexico  Puebla , 368 , 292 , 257 , 62 , 24 
38588,Plaza los robles, 485 , 407 , 427 , 64 , 27 
38589,Centro Maya Dt, 540 , 461 , 548 , 88 , 35 
38597,Emerson, 298 , 219 , 368 , 29 , 13 
38591,Tampico Universidad, 649 , 527 , 598 , 101 , 44 
38592,Ciudad Granjas, 338 , 233 , 334 , 34 , 14 
38593,City Express Aguascalientes, 561 , 467 , 562 , 103 , 44 
38599,Adagio, 341 , 321 , 349 , 36 , 15 
38596,Esfera City Center, 365 , 302 , 248 , 29 , 15 
38598,Plaza Palmares, 383 , 310 , 396 , 34 , 18 
38601,Paseo Quintana, 258 , 210 , 247 , 29 , 11 
38602,Obrero Mundial, 253 , 205 , 225 , 16 , 7 
38604,Cosmopol, 569 , 519 , 373 , 86 , 34 
38605,Plaza Cuicuilco, 259 , 223 , 337 , 34 , 15 
38603,Metropolitan, 334 , 235 , 283 , 12 , 7 
38606,TlalnepantlaCarso, 628 , 537 , 546 , 126 , 47 
38607,Carretera  Mexico Toluca KM42, 609 , 480 , 555 , 62 , 25 
38611,Plaza Basica, 596 , 522 , 554 , 111 , 42 
38612,Antara II, 424 , 344 , 605 , 42 , 18 
38608,Aeropuerto Mty TB SUE, 393 , 470 , 495 , 39 , 18 
38609,Nogales Mall, 500 , 444 , 400 , 94 , 40 
38610,5ta Avenida, 126 , 148 , 99 , 16 , 7 
38615,Grand San Jeronimo, 244 , 228 , 380 , 35 , 13 
38617,Axomiatla, 238 , 229 , 246 , 22 , 10 
38614,Uruapan II DT, 839 , 771 , 712 , 151 , 64 
38619,Calzada de Tlalpan, 730 , 635 , 668 , 147 , 55 
38620,Oasis I, 523 , 427 , 454 , 71 , 27 
38618,Plaza Peninsula DT, 330 , 289 , 353 , 42 , 16 
38625,Tezoquipa , 457 , 407 , 423 , 84 , 31 
38627,Moliere 222, 383 , 363 , 362 , 34 , 14 
38621,Paseo Durango, 452 , 368 , 355 , 54 , 26 
38622,Aeropuerto Culiacan , 398 , 369 , 412 , 19 , 11 
38624,GuadalajaraCentro, 762 , 581 , 627 , 121 , 47 
38629,Town Center Juriquilla, 301 , 286 , 260 , 44 , 19 
38626,Aeropuerto Tijuana Exterior, 443 , 319 , 312 , 12 , 8 
38633,Carretera Toluca Mexico (plaza cedros DT), 399 , 338 , 352 , 23 , 11 
38634,Cuernavaca Centro, 260 , 205 , 269 , 57 , 21 
38630,Galerias las Torres Leon, 355 , 365 , 300 , 53 , 21 
38631,Plaza Cibeles , 551 , 475 , 321 , 73 , 31 
38637,Tlalpan Nativitas , 402 , 353 , 373 , 65 , 25 
38638,Galerias Acapulco, 653 , 540 , 530 , 92 , 37 
38636,Lázaro Cárdenas, 547 , 451 , 407 , 73 , 29 
38642,Carretera Mexico Queretaro, 721 , 643 , 650 , 65 , 28 
38644,Torre Virreyes, 218 , 239 , 371 , 12 , 6 
38639,Kukulkan DT, 325 , 331 , 311 , 42 , 17 
38640,Alcalde , 658 , 574 , 597 , 62 , 29 
38641,Sala B Aeropuerto Cancun, 555 , 517 , 533 , 34 , 21 
38645,Plaza Central , 379 , 350 , 257 , 64 , 25 
38643,Monclova, 324 , 257 , 226 , 60 , 33 
38646,Carracci, 501 , 310 , 514 , 69 , 26 
38648,La Huerta, 646 , 624 , 608 , 158 , 60 
38649,Sendero Villahermosa, 314 , 291 , 231 , 51 , 20 
38647,Urban Center La Rioja, 842 , 784 , 612 , 134 , 56 
38651,Via Vallejo, 582 , 558 , 440 , 73 , 30 
38653,Salon Ejecutivo T1 AICM, 388 , 437 , 368 , 31 , 13 
38650,Puerta Oeste, 401 , 350 , 380 , 45 , 22 
38654,Reforma 180, 124 , 86 , 263 , 14 , 6 
38656,Viveros de la Loma, 623 , 544 , 582 , 42 , 23 
38657,Patio Lomas Estrella , 363 , 333 , 305 , 73 , 27 
38658,Plaza Delta Planta Baja, 675 , 576 , 504 , 98 , 37 
38655,3 Torres de Cd Juarez, 721 , 599 , 629 , 128 , 54 
38659,Sendero Ixtapaluca , 601 , 546 , 437 , 154 , 59 
38661,Jinetes, 305 , 302 , 287 , 40 , 17 
38663,Copilco 20, 324 , 303 , 311 , 66 , 24 
38665,Galerias Celaya , 527 , 532 , 359 , 63 , 26 
38660,Sania, 377 , 237 , 494 , 43 , 18 
38668,Pabellon Metepec, 356 , 263 , 336 , 34 , 14 
38662,Aeropuerto Cancun T3 Pa Ii, 329 , 290 , 305 , 25 , 13 
38672,31 Oriente, 470 , 386 , 451 , 75 , 30 
38664,Camino Real Tijuana, 699 , 507 , 607 , 64 , 33 
38674,Mundo E, 415 , 391 , 238 , 53 , 22 
38666,Paseo la Fe, 648 , 523 , 390 , 59 , 27 
38667,Hipodromo Caliente, 158 , 142 , 96 , 16 , 6 
38675,Cordoba centro, 285 , 209 , 234 , 75 , 29 
38669,Salamanca Power Town , 436 , 453 , 309 , 79 , 31 
38670,Pabellon M, 309 , 277 , 388 , 41 , 16 
38671,Plaza Carranza, 225 , 143 , 231 , 37 , 14 
38676,Miyana, 425 , 349 , 601 , 36 , 15 
38673,Puerta Bajio, 223 , 215 , 261 , 40 , 17 
38677,Patio la Raza, 332 , 317 , 414 , 64 , 24 
38678,Power Center las Americas, 372 , 359 , 303 , 90 , 35 
38682,Coatzacoalcos II, 562 , 517 , 540 , 106 , 40 
38684,Plaza Chimalhuacan, 458 , 471 , 344 , 123 , 46 
38679,Technology Park, 734 , 631 , 691 , 116 , 47 
38680,Galerias Saltillo, 433 , 357 , 217 , 35 , 19 
38690,Forum Cuernavaca, 460 , 419 , 327 , 77 , 30 
38691,Patio Revolución, 225 , 177 , 259 , 32 , 13 
38683,Plaza Aeropuerto Mty, 276 , 242 , 392 , 36 , 15 
38692,Plaza Exhibimex, 395 , 344 , 419 , 67 , 27 
38685,Sendero La Fe, 388 , 328 , 349 , 58 , 23 
38688,Apto Mty TC SUE, 586 , 590 , 644 , 40 , 23 
38689,Carretera Irapuato , 246 , 253 , 272 , 49 , 19 
38694,Villas de la Hacienda, 398 , 388 , 349 , 78 , 32 
38695,Cetram 4 Caminos, 591 , 438 , 548 , 121 , 42 
38698,Poniente 25, 342 , 219 , 378 , 58 , 22 
38693,Fashion Mall Tampico, 600 , 511 , 462 , 102 , 39 
38699,Puebla centro, 524 , 436 , 477 , 110 , 43 
38700,Puebla Avanza, 646 , 678 , 492 , 84 , 35 
38696,Zamora DT, 695 , 663 , 558 , 117 , 46 
38702,Orizaba, 579 , 473 , 459 , 121 , 48 
38703,Plaza las americas, 611 , 484 , 418 , 65 , 25 
38715,Av. Coyoacan DT only, 534 , 440 , 560 , 66 , 27 
38716,Multiplaza Bosques, 453 , 442 , 384 , 92 , 37 
38705,Gran Plaza Mazatlan, 341 , 306 , 280 , 38 , 17 
38706,Aeropuerto Cd Juarez, 101 , 89 , 116 , 16 , 8 
38707,Punto Cero DT, 648 , 514 , 651 , 106 , 48 
38708,ChihuahuaCentro, 251 , 196 , 272 , 44 , 17 
38717,Av Revolucion, 771 , 599 , 681 , 60 , 27 
38711,Villamarino DT, 666 , 537 , 567 , 136 , 50 
38712,Up Town Merida, 695 , 600 , 722 , 116 , 44 
38713,La Isla Vallarta, 513 , 482 , 384 , 58 , 26 
38714,EL Dorado SLP, 538 , 485 , 364 , 75 , 31 
38718,Paseo Ventura, 286 , 253 , 255 , 51 , 21 
38719,Plaza Fortuna, 403 , 364 , 400 , 71 , 28 
38720,Patio Barranca PB, 368 , 321 , 566 , 60 , 22 
38721,El Meson, 622 , 603 , 618 , 72 , 34 
38722,Patio Barranca N2, 202 , 164 , 307 , 28 , 11 
38725,Plaza Oriente ll, 361 , 354 , 275 , 51 , 20 
38727,Centro Tk, 207 , 250 , 283 , 13 , 7 
38728,Punto la Victoria, 553 , 440 , 378 , 99 , 36 
38723,Puerto Cancun, 460 , 419 , 381 , 70 , 29 
38729,Ubika Milenio, 292 , 232 , 270 , 50 , 20 
38726,Nuevo Laredo DT, 568 , 382 , 498 , 229 , 87 
38730,Manacar PB, 357 , 282 , 570 , 56 , 21 
38731,Plaza Cuaunahuac, 595 , 472 , 510 , 108 , 40 
38732,Galerias Tlaxcala, 541 , 507 , 444 , 134 , 53 
38733,San Martin, 227 , 182 , 210 , 25 , 11 
38736,Periferico Puebla  , 787 , 701 , 699 , 118 , 45 
38738,Pabellon Tuxtla, 612 , 591 , 426 , 98 , 39 
38746,Arcos Bosques II, 212 , 187 , 561 , 19 , 9 
38734,Puerto Interior, 344 , 232 , 478 , 86 , 33 
38735,Salamanca Mazda , 320 , 269 , 270 , 52 , 21 
38747,Centro Comercial Santa Fe 3, 340 , 302 , 191 , 12 , 8 
38737,OTAY, 423 , 338 , 547 , 64 , 26 
38749,Patio Santa Fe 2, 150 , 114 , 267 , 14 , 6 
38739,Fashion Drive, 503 , 428 , 302 , 27 , 12 
38740,Justo Sierra, 449 , 304 , 415 , 50 , 21 
38742,XO, 268 , 195 , 259 , 19 , 8 
38743,Piedras Negras, 854 , 687 , 718 , 208 , 83 
38744,Gran Hotel, 442 , 362 , 375 , 47 , 19 
38745,SLP Carretera 57 Norte, 447 , 375 , 443 , 117 , 45 
38750,Antea II, 438 , 397 , 269 , 36 , 18 
38752,Star Medica Roma, 294 , 186 , 300 , 38 , 14 
38753,Parque puebla pb, 603 , 590 , 492 , 100 , 39 
38754,Parque puebla pa, 369 , 376 , 211 , 80 , 33 
38756,Averanda, 587 , 544 , 436 , 58 , 26 
38757,Citadina Constituyentes, 826 , 666 , 660 , 134 , 56 
38761,Solara, 471 , 377 , 295 , 49 , 20 
38762,Patio Boturini, 425 , 364 , 380 , 97 , 35 
38764,Star  Medica Napoles, 250 , 82 , 233 , 18 , 10 
38758,Las Torres Cd Juarez, 791 , 658 , 643 , 173 , 71 
38759,Isla Culiacan, 454 , 415 , 454 , 40 , 18 
38760,Kiosco Gran Plaza Merida, 238 , 196 , 213 , 37 , 14 
38769,Patio Toluca, 321 , 301 , 319 , 56 , 21 
38763,Rosarito, 601 , 468 , 564 , 89 , 42 
38770,Gustavo Baz 29, 230 , 199 , 251 , 27 , 12 
38765,Colinas de San Jeronimo, 600 , 472 , 614 , 58 , 25 
38766,Aeropuerto Cancun T4 Pb Ext, 309 , 261 , 258 , 39 , 17 
38767,Aeropuerto Cancun T4 Pa Int, 464 , 492 , 420 , 40 , 20 
38771,Medica SurTlalpan, 164 , 46 , 247 , 19 , 6 
38777,Parque la Mexicana, 381 , 438 , 198 , 30 , 14 
38781,San Cristobal, 397 , 367 , 291 , 78 , 32 
38784,Artz Pedregal PB CC, 418 , 342 , 548 , 59 , 25 
38775,Aeropuerto salidas nacionales puerta C37, 533 , 525 , 581 , 30 , 17 
38776,Los Cabos CH, 135 , 131 , 150 , 31 , 12 
38778,Real del Castillo, 433 , 319 , 374 , 73 , 29 
38779,Rio Tijuana, 639 , 471 , 607 , 107 , 44 
38785,Versalles, 222 , 228 , 296 , 32 , 12 
38787,Plaza Atrios, 610 , 559 , 500 , 160 , 61 
38782,Tlaquepaque, 706 , 673 , 617 , 128 , 54 
38790,Carretera Mexico Pachuca, 651 , 498 , 456 , 119 , 46 
38792,Pasaje Tlanepantla, 282 , 201 , 286 , 40 , 16 
38786,Punto Cultiva, 267 , 214 , 275 , 28 , 12 
38793,Galerias Pachuca PA, 417 , 400 , 301 , 71 , 28 
38788,Matamoros DT, 801 , 593 , 689 , 162 , 67 
38789,Aeropuerto Cancun T4 Food Court, 556 , 527 , 468 , 37 , 23 
38795,Apto T1 Pb N Pta 7, 178 , 152 , 173 , 15 , 7 
38796,Apto T1 AMB Sala J, 137 , 110 , 146 , 12 , 7 
38799,Paseo Interlomas III, 310 , 284 , 277 , 15 , 9 
38800,Antenas PA, 422 , 422 , 305 , 64 , 25 
38801,Antenas PB, 548 , 547 , 401 , 143 , 51 
38797,Lindavista Mty, 701 , 570 , 663 , 44 , 22 
38803,Apto T1 AMB Puerta 8, 380 , 384 , 397 , 27 , 13 
38804,Galerias Chilpancingo, 504 , 469 , 430 , 117 , 45 
38806,Patio Tlalpan, 425 , 397 , 376 , 82 , 30 
38809,Estacion de Servicio la Virgen, 596 , 599 , 436 , 82 , 34 
38810,Plaza Centenario ( Tenaria), 418 , 335 , 353 , 67 , 27 
38811,Plaza Tepeyac, 496 , 474 , 380 , 84 , 32 
38805,Isla Merida, 597 , 612 , 451 , 61 , 29 
38812,Star Medica Queretaro, 336 , 165 , 454 , 49 , 20 
38808,Carretera Saltillo-Mty, 493 , 378 , 493 , 53 , 24 
38813,Autopista Puebla Orizaba, 774 , 616 , 619 , 132 , 53 
38815,Central Interlomas, 164 , 143 , 225 , 12 , 6 
38819,Paseo Tehuacan DT, 655 , 572 , 584 , 108 , 43 
38821,Explanada Puebla, 474 , 444 , 345 , 64 , 27 
38814,Carretera 57 SLP Sur, 990 , 830 , 814 , 205 , 76 
38822,Aeropuerto Acapulco, 206 , 336 , 218 , 16 , 10 
38816,Via Cordillera, 280 , 231 , 409 , 18 , 10 
38829,Outlet Lerma, 427 , 435 , 259 , 68 , 26 
38818,Centro Jacarandas , 432 , 373 , 368 , 77 , 30 
38831,Angelopolis II, 460 , 397 , 253 , 77 , 30 
38820,Metrocentro DT, 320 , 248 , 374 , 40 , 16 
38837,Centenario Azcapotzalco, 358 , 300 , 338 , 86 , 31 
38825,Harbor, 390 , 382 , 381 , 51 , 21 
38826,Malecon Mazatlan, 310 , 309 , 265 , 41 , 19 
38827,Aeropuerto Los Mochis, 133 , 157 , 227 , 25 , 11 
38828,Urban Center Merida, 430 , 342 , 504 , 66 , 25 
38838,Star Medica Morelia, 262 , 181 , 271 , 50 , 20 
38839,Tapachula DT, 468 , 373 , 353 , 51 , 23 
38840,Periferico Puebla II, 775 , 637 , 674 , 130 , 53 
38833,Aeropuerto Bajio, 509 , 591 , 654 , 41 , 27 
38834,Aeropuerto Hermosillo Ext, 164 , 147 , 181 , 12 , 7 
38836,Morelos Centro Mty , 619 , 521 , 533 , 79 , 31 
38841,Townsquare Metepec, 593 , 526 , 382 , 69 , 28 
38845,Mundo E II, 419 , 374 , 224 , 45 , 20 
38846,Ubika Universidad, 370 , 258 , 389 , 71 , 26 
38847,El Molino, 343 , 247 , 355 , 67 , 25 
38842,Caucel DT, 793 , 652 , 651 , 169 , 65 
38843,Tulum DT, 299 , 293 , 295 , 55 , 22 
38844,Park Point, 231 , 201 , 182 , 25 , 12 
38855,Plaza Zapotitlán DT , 453 , 445 , 391 , 114 , 43 
38857,Plaza San Diego, 516 , 429 , 469 , 84 , 33 
38848,Alameda Otay, 335 , 250 , 307 , 28 , 13 
38849,Hospital Angeles Valle Oriente, 195 , 139 , 233 , 16 , 7 
38859,Plaza Satelite II N1, 604 , 509 , 328 , 106 , 43 
38851,Aeropuerto Chihuahua, 323 , 405 , 481 , 33 , 16 
38853,Apto Mty TA II, 689 , 754 , 705 , 61 , 30 
38860,Paseo Queretaro, 450 , 417 , 256 , 56 , 23 
38862,San Miguel Izcalli, 540 , 444 , 462 , 109 , 41 
38864,Carretera Queretaro Celaya, 413 , 356 , 323 , 47 , 21 
38871,Estacion las Brujas II, 428 , 475 , 423 , 68 , 30 
38882,Ubika Juriquilla, 373 , 331 , 347 , 47 , 20 
38863,Bucerias, 545 , 515 , 528 , 53 , 27 
38885,AIQ , 467 , 570 , 596 , 36 , 24 
38865,Kune DT, 809 , 677 , 575 , 66 , 33 
38886,Estacion las Brujas I, 356 , 325 , 366 , 48 , 21 
38867,Plaza Bonita, 362 , 310 , 342 , 64 , 28 
38868,Punto Sur, 583 , 663 , 425 , 66 , 30 
38869,Carretera Nuevo Laredo, 388 , 360 , 365 , 52 , 23 
38870,Periferico Torreon DT, 657 , 524 , 541 , 90 , 42 
38888,Mitikah, 812 , 661 , 828 , 132 , 52 
38872,Colosio DT, 255 , 230 , 312 , 64 , 24 
38873,Plaza El Molino Apodaca, 591 , 437 , 492 , 74 , 31 
38874,Las Puentes, 564 , 456 , 523 , 76 , 33 
38875,Rincon de la Florida, 607 , 475 , 491 , 88 , 39 
38876,Huayacan DT, 588 , 449 , 614 , 86 , 35 
38877,Apto SLP, 151 , 146 , 159 , 14 , 9 
38879,Zona Romantica Puerto Vallarta, 358 , 348 , 308 , 31 , 13 
38880,Aeropuerto Tijuana SUE Central, 626 , 456 , 501 , 29 , 18 
38881,Galerias Santa Anita, 687 , 703 , 505 , 103 , 44 
38893,Explanada Pachuca, 470 , 444 , 268 , 69 , 28 
38883,Omnia, 560 , 439 , 427 , 37 , 22 
38884,Plaza Marina Leon, 553 , 462 , 488 , 93 , 38 
38894,Galerias Perinorte, 487 , 470 , 373 , 117 , 43 
38895,Ubika El Refugio, 597 , 505 , 560 , 76 , 32 
38887,Terracota Aguascalientes, 558 , 377 , 486 , 74 , 31 
38896,Paseo Tollocan DT, 844 , 687 , 712 , 162 , 60 
38889,La Isla Cancún II, 237 , 227 , 198 , 28 , 13 
38890,Carretera A Chapala, 831 , 820 , 715 , 179 , 70 
38891,Gran Patio Guanajuato, 354 , 343 , 277 , 51 , 20 
38892,Zacatecas Centro de Gobierno, 786 , 612 , 676 , 184 , 72 
38897,Atlixcayotl DT , 830 , 665 , 870 , 154 , 64 
38899,Carr México Queretaro, 404 , 338 , 430 , 47 , 22 
38903,Encuentro Oceania, 675 , 595 , 492 , 118 , 45 
38906,APTO Ciudad de MéxicoAMB PTA 2 , 298 , 264 , 329 , 37 , 30 
38908,Carretera Pachuca Mexico, 750 , 765 , 617 , 158 , 63 
38898,Galerias Mty III, 733 , 624 , 370 , 41 , 17 
38910,AIFA Llegadas Nacional AMB, 494 , 537 , 554 , 91 , 35 
38900,Apto Cd Juárez SUE, 272 , 270 , 296 , 37 , 17 
38901,Apto MTY TC Amb, 386 , 359 , 505 , 54 , 21 
38902,Apto ChihuahuaAmb, 104 , 118 , 162 , 12 , 6 
38911,AIFA SUE Nacional, 420 , 581 , 514 , 36 , 18 
38904,Foro 4, 289 , 275 , 359 , 36 , 15 
38905,Distrito La Perla, 653 , 716 , 539 , 95 , 38 
38916,Chedraui Centro Sur, 390 , 329 , 413 , 56 , 22 
38907,Galerias Valle Oriente, 223 , 192 , 142 , 21 , 9 
38918,Bosque Real, 194 , 189 , 239 , 25 , 11 
38909,Puerta Norte DT, 274 , 237 , 317 , 42 , 17 
38924,Plaza Aeropuerto, 444 , 408 , 307 , 98 , 36 
38925,Star Medica Lomas Verdes, 160 , 78 , 192 , 12 , 6 
38912,Punto Escobedo DT León, 583 , 413 , 490 , 79 , 32 
38913,Apto Mazatlan SUE, 271 , 326 , 307 , 19 , 11 
38929,Aeropuerto Toluca AMB, 148 , 173 , 237 , 12 , 8 
38917,Urban Center Cancun, 190 , 120 , 286 , 32 , 12 
38930,Blvd. Aeropuerto dt, 779 , 673 , 604 , 128 , 48 
38920,Paseo Monclova, 478 , 415 , 277 , 56 , 25 
38921,Carretera Ags-Zac, 541 , 453 , 434 , 97 , 45 
38922,Plaza Península Tijuana, 820 , 689 , 493 , 75 , 37 
38923,Campestre Merida DT, 290 , 229 , 352 , 44 , 17 
38937,Parque Tepeyac Piso 1, 664 , 618 , 489 , 157 , 61 
38939,Pachuca DT II, 767 , 590 , 761 , 154 , 60 
38926,Star Medica Ciudad Juarez, 254 , 131 , 273 , 42 , 18 
38927,Star Médica Chihuahua, 98 , 40 , 179 , 20 , 9 
38928,Starmedica Merida, 208 , 86 , 265 , 22 , 9 
38941,Mitikah Restaurantes, 355 , 317 , 317 , 60 , 24 
38942,Moraleda Atlixco DT, 413 , 391 , 361 , 98 , 41 
38931,Colima II, 546 , 514 , 445 , 86 , 37 
38932,San Pedro DT, 294 , 259 , 245 , 51 , 22 
38933,Novena Mexicali DT, 442 , 357 , 387 , 62 , 26 
38934,Tijuana vía rápida, 687 , 490 , 619 , 90 , 41 
38935,Plaza Paraiso DT, 570 , 474 , 417 , 79 , 32 
38943,Terraza T2 Amb, 333 , 355 , 490 , 42 , 17 
38938,Colima Sendera DT, 623 , 577 , 550 , 81 , 40 
38944,Centro SurQro , 575 , 401 , 603 , 90 , 37 
38946,Patio Tapachula, 496 , 442 , 432 , 143 , 51 
38949,Costera Acapulco, 667 , 554 , 617 , 173 , 65 
38957,Avándaro, 196 , 181 , 124 , 25 , 14 
38947,Hermosillo Centro de Gobierno DT, 425 , 308 , 397 , 80 , 32 
38948,Tijuana Teran DT, 573 , 529 , 495 , 105 , 43 
38965,Parque Tepeyac Piso 2, 429 , 431 , 242 , 97 , 37 
38950,Outlet Riviera Maya, 255 , 306 , 134 , 42 , 18 
38966,Comitán Chiapas DT, 536 , 448 , 383 , 161 , 61 
38952,Punta Este DT, 447 , 343 , 351 , 32 , 18 
38953,Fragaria Irapuato , 586 , 495 , 528 , 128 , 49 
38967,Belisario DT, 699 , 576 , 612 , 111 , 44 
38955,La Ceiba, 416 , 420 , 352 , 32 , 18 
38956,Plaza San Rafael Ags, 551 , 448 , 538 , 82 , 32 
38976,Hospital Angeles Centro Sur Qro, 242 , 109 , 383 , 38 , 17 
38958,Los Cavazos DT, 407 , 429 , 321 , 29 , 16 
38959,Distrito Hexus Hermosillo, 345 , 266 , 363 , 51 , 22 
38960,La Cantera DT, 309 , 239 , 326 , 40 , 19 
38963,Lazaro Cardenas Mty DT, 712 , 564 , 657 , 70 , 32 
38982,Miyana II, 133 , 124 , 329 , 19 , 8 
38987,Punta Zero Calimaya DT, 514 , 447 , 429 , 101 , 41 
38992,Tapo Puerta Oriente, 456 , 338 , 475 , 93 , 34 
38995,Encuentro Oceania II, 422 , 397 , 266 , 82 , 31 
38968,Génesis Reynosa DT, 725 , 609 , 565 , 164 , 66 
38969,Punto Sur II, 379 , 460 , 246 , 47 , 19 
38970,Hospital Zambrano, 322 , 212 , 466 , 16 , 10 
38971,Distrito 925 Zacatecas, 589 , 485 , 495 , 96 , 41 
38972,Plaza Village DT, 691 , 538 , 660 , 132 , 49 
38973,Punto Guadiana, 415 , 360 , 402 , 40 , 21 
38974,Carretera León Silao DT, 552 , 500 , 449 , 102 , 39 
38975,Cholul DT, 673 , 542 , 546 , 114 , 45 
38996,Valle de Aragon, 388 , 423 , 400 , 108 , 41 
38977,Ocampo Corner DT, 416 , 316 , 465 , 66 , 26 
38978,Periferico Merkabastos Gdl, 661 , 550 , 512 , 66 , 30 
38979,Carretera Progreso DT, 653 , 551 , 594 , 94 , 41 
38980,The Park , 614 , 500 , 354 , 69 , 35 
38981,Doctors Hospital AUNA, 420 , 201 , 433 , 28 , 16 
38997,San Juan del Rio ll, 613 , 552 , 509 , 155 , 61 
38983,Santa Monica Aguascalientes DT, 564 , 502 , 432 , 83 , 35 
38984,Lourdes Saltillo DT, 611 , 561 , 466 , 119 , 49 
38985,Paseo San Miguel, 628 , 556 , 470 , 90 , 38 
38986,Plaza Kabs DT, 474 , 418 , 434 , 114 , 45 
43008,Carretera Atlixco, 276 , 240 , 252 , 49 , 22 
38988,Zona Dorada II, 355 , 295 , 311 , 36 , 19 
38989,Las Américas Chetumal DT, 828 , 603 , 610 , 192 , 73 
38990,Las Americas Cancun DT, 256 , 192 , 251 , 34 , 13 
38991,Las Américas Mérida DT, 652 , 534 , 628 , 112 , 44 
43009,Plaza Aventura DT, 720 , 571 , 687 , 85 , 38 
38993,Las Americas Playa del Carmen, 643 , 534 , 566 , 169 , 60 
38994,ZapopanCentro , 673 , 640 , 620 , 90 , 35 
43011,Carr Toluca-Atlacomulco DT, 426 , 395 , 423 , 98 , 39 
43025,Punto MAQ, 402 , 286 , 341 , 35 , 13 
43026,Plaza Ermita, 479 , 436 , 387 , 79 , 34 
38998,Carretera Reynosa DT, 662 , 566 , 587 , 101 , 44 
38999,Plaza Las Alondras DT, 610 , 563 , 457 , 96 , 41 
43000,Tecnologico Cd Juarez, 507 , 434 , 488 , 88 , 37 
43001,Zona Hotelera, 149 , 128 , 127 , 34 , 13 
43003,Acuña DT, 486 , 389 , 325 , 126 , 48 
43005,Santiago DT , 433 , 388 , 346 , 37 , 21 
43007,Parque Centro Saltillo DT, 439 , 351 , 370 , 56 , 24 
43209,Centro Mirador, 318 , 276 , 294 , 49 , 21 
43033,Plaza Constituyentes, 401 , 301 , 394 , 69 , 27 
43010,Tepatitlán DT, 634 , 634 , 560 , 99 , 50 
43034,Macroplaza Tecamac, 435 , 417 , 339 , 117 , 44 
43016,Hotel Araiza Mexicali DT, 391 , 312 , 343 , 60 , 24 
43018,Parque Viñedos DT, 712 , 573 , 639 , 117 , 50 
43019,Campestre Saltillo DT, 490 , 407 , 482 , 56 , 28 
43021,Av. 135 Cancún DT, 368 , 315 , 328 , 53 , 21 
43035,Apto Veracruz Amb , 118 , 143 , 145 , 17 , 9 
43036,Epic Center Zakia DT, 418 , 344 , 331 , 64 , 27 
43027,Paseo Insurgentes León DT, 422 , 322 , 414 , 40 , 20 
43029,Ahau Tulum, 55 , 54 , 49 , 12 , 5 
43040,Centro Zibatá, 339 , 292 , 325 , 39 , 18 
43031,Galerias Mall Hermosillo, 349 , 307 , 224 , 46 , 20 
43032,Paseo del Moral León, 254 , 187 , 300 , 27 , 11 
43041,Parque Aztlan, 312 , 272 , 108 , 23 , 12 
43043,Atizapan, 290 , 231 , 287 , 44 , 18 
43044,Loma linda DT, 729 , 585 , 717 , 99 , 39 
43045,Periferico Polanco DT, 197 , 146 , 245 , 36 , 14 
43037,Apto Cozumel SUE, 136 , 132 , 97 , 20 , 10 
43038,Aeropuerto Tulum AMB, 104 , 107 , 115 , 20 , 8 
43039,Apto Tulum SUE Nacional PA, 79 , 118 , 107 , 14 , 7 
43047,Juarez Puebla II, 200 , 173 , 189 , 33 , 13 
43050,Galerias Uriangato DT, 471 , 496 , 353 , 125 , 53 
43042,Plaza Concordia DT, 686 , 607 , 539 , 92 , 41 
43055,Paseo de la República, 656 , 507 , 628 , 102 , 40 
43057,Ruiz Cortinez DT, 658 , 497 , 631 , 99 , 40 
43058,Casa de Gobierno DT, 588 , 520 , 476 , 134 , 49 
43046,Plaza Alada GDL, 193 , 183 , 192 , 12 , 7 
43059,La Providencia DT, 617 , 468 , 594 , 130 , 52 
43068,Galerias Metepec II, 575 , 516 , 364 , 109 , 41 
43051,Juan Gil Preciado DT, 749 , 685 , 690 , 130 , 56 
43054,Paseo Azahares DT, 221 , 184 , 230 , 27 , 12 
43069,Patio Acapulco, 326 , 242 , 345 , 95 , 35 
43056,Plaza de Hierro Navojoa DT, 347 , 308 , 284 , 47 , 23 
43070,Rojo Gomez DT, 610 , 551 , 503 , 145 , 55 
43071,Tecnologico Celaya , 531 , 515 , 474 , 101 , 39 
43074,Bugambilias Plaza Cuernavaca, 339 , 244 , 287 , 55 , 21 
43060,Landmark Tijuana BC, 258 , 204 , 189 , 17 , 11 
43063,Plaza Nogal León DT, 457 , 382 , 431 , 69 , 28 
43082,AIFA Salidas PTA 1, 243 , 284 , 291 , 33 , 15 
43083,AIFA Llegadas Internacional AMB, 166 , 184 , 190 , 25 , 10 
43084,Puerto Caoba, 326 , 273 , 291 , 58 , 22 
43100,Down Town Puebla, 196 , 185 , 202 , 28 , 12 
43105,Insurgentes Capital, 173 , 181 , 420 , 44 , 17 
