CC,Tienda, ADT 15-Ago , ADT 16-Ago , ADT 17-Ago ," USD 
Unicornio Frappuccino ", USD Cake Pop Unicornio 
38220,Obelisco, 296 , 329 , 389 , 40 , 15 
38222,Domingo Diez, 292 , 212 , 277 , 29 , 12 
38221,Jardines Vallarta, 439 , 348 , 423 , 36 , 15 
38225,Centro Comercial Santa Fe 2, 442 , 402 , 335 , 32 , 14 
38223,Vasconcelos, 320 , 277 , 324 , 32 , 14 
38224,Revolucion, 326 , 269 , 301 , 19 , 10 
38226,Via kiosko 515, 389 , 345 , 424 , 73 , 28 
38228,Terranova, 346 , 254 , 370 , 35 , 14 
38229,Zona Financiera, 214 , 164 , 265 , 25 , 10 
38233,Toluca Colon, 396 , 283 , 443 , 73 , 27 
38231,Aeropuerto Cancun T3 Pa , 713 , 721 , 698 , 12 , 24 
38232,Aeropuerto Cancun T3 Pb, 265 , 278 , 279 , 36 , 17 
38234,Fiesta Americana Reforma, 299 , 211 , 283 , 26 , 10 
38236,Morelia Campestre, 581 , 518 , 502 , 90 , 39 
38239,Miguel Angel de Quevedo III, 292 , 229 , 294 , 27 , 11 
38237,Plaza del Sol, 475 , 400 , 442 , 60 , 25 
38238,Plaza Cumbres, 696 , 610 , 379 , 64 , 29 
38250,Galerias Queretaro, 406 , 353 , 258 , 80 , 32 
38241,Galerias Guadalajara II, 495 , 462 , 306 , 53 , 25 
38242,Malecon Vallarta, 288 , 275 , 265 , 32 , 14 
38243,Paseo de los Heroes, 191 , 144 , 267 , 14 , 7 
38244,Plaza Fiesta San Agustin  , 527 , 447 , 476 , 52 , 22 
38245,Plaza Zenttro, 214 , 129 , 222 , 17 , 8 
38246,Las Americas, 669 , 587 , 598 , 85 , 39 
38247,Plaza Mayor, 577 , 498 , 309 , 70 , 28 
38248,Hotel La Quinta, 575 , 477 , 534 , 86 , 37 
38249,La Calma, 257 , 233 , 224 , 29 , 12 
38260,Tlacoquemecatl, 281 , 277 , 338 , 23 , 12 
38251,Las Torres Leon, 368 , 340 , 335 , 27 , 13 
38252,Plaza Rio, 471 , 413 , 359 , 53 , 24 
38254,Plaza Real, 940 , 837 , 865 , 106 , 45 
38255,Plaza Divina, 403 , 331 , 469 , 59 , 23 
38257,Playa Tides, 186 , 160 , 146 , 19 , 9 
38258,Garza Sada, 330 , 286 , 292 , 31 , 15 
38259,Punta Langosta, 225 , 149 , 281 , 43 , 19 
38264,Zapata, 247 , 223 , 262 , 27 , 11 
38262,Centro Max, 449 , 369 , 359 , 54 , 22 
38263,Via Vergel Mty, 385 , 325 , 385 , 24 , 13 
38266,San Mateo, 261 , 207 , 298 , 52 , 22 
38265,Ensenada Malecon, 411 , 390 , 339 , 45 , 21 
38268,Plaza Boulevares, 232 , 174 , 268 , 45 , 17 
38267,Gran Plaza DT, 458 , 336 , 527 , 75 , 28 
38270,Lomas Verdes II, 308 , 289 , 213 , 39 , 16 
38272,Londres, 441 , 327 , 481 , 58 , 22 
38271,Plaza Centenario, 211 , 169 , 221 , 28 , 11 
38279,Tezontle ll, 393 , 386 , 243 , 74 , 28 
38273,Colosio, 635 , 521 , 597 , 85 , 38 
38274,Salinas, 317 , 221 , 314 , 20 , 10 
38275,Altaria, 620 , 553 , 401 , 90 , 38 
38276,Paseo de los Leones, 808 , 723 , 718 , 96 , 39 
38277,Playas de Tijuana, 747 , 672 , 621 , 104 , 46 
38280,Olas Diamante, 623 , 598 , 564 , 137 , 55 
38285,Reforma 222, 358 , 189 , 332 , 45 , 16 
38282,Cimaco, 521 , 453 , 396 , 62 , 28 
38283,Citadel, 352 , 373 , 234 , 47 , 18 
38286,Los Arcos Queretaro, 326 , 243 , 303 , 41 , 17 
38289,Tezontle l, 539 , 463 , 355 , 110 , 40 
38287,ITESO, 525 , 496 , 524 , 84 , 33 
38288,Galerias Vallarta, 469 , 499 , 429 , 97 , 40 
38291,Reforma 222 II, 469 , 352 , 424 , 40 , 17 
38290,Cordilleras, 758 , 659 , 815 , 66 , 29 
38292,Jesús del Monte, 293 , 225 , 350 , 23 , 11 
38295,Campestre Queretaro, 408 , 338 , 368 , 51 , 21 
38297,T2 Salida Internacional, 607 , 720 , 735 , 44 , 23 
38296,Altabrisa, 540 , 476 , 392 , 74 , 29 
38298,T2 Salida Nacional, 816 ," 1,020 "," 1,059 ", 77 , 36 
38299,T2 Llegadas, 571 , 546 , 688 , 51 , 24 
38305,Centro San Miguel de Allende , 514 , 516 , 370 , 47 , 26 
38300,El campestre Cd Juarez, 554 , 384 , 482 , 82 , 35 
38302,Himalaya, 316 , 268 , 327 , 25 , 11 
38303,Plaza Fiesta San Agustin Int, 365 , 340 , 240 , 14 , 8 
38304,Copernico, 406 , 313 , 400 , 36 , 16 
38309,Morelia Camelinas, 593 , 496 , 589 , 97 , 42 
38306,Irapuato 1, 577 , 461 , 487 , 49 , 22 
38307,Plaza Lienzo Mexicalli, 301 , 237 , 349 , 27 , 12 
38310,La Rosita, 538 , 424 , 513 , 56 , 27 
38311,Lomas SLP, 298 , 215 , 276 , 38 , 14 
38315,Celaya Lopez Mateos , 509 , 433 , 533 , 110 , 45 
38313,Constitucion, 592 , 388 , 657 , 61 , 25 
38314,Tecos, 552 , 425 , 618 , 50 , 22 
38319,Tecnologico Metepec, 418 , 375 , 440 , 49 , 20 
38316,Paseo del Triunfo de la Republica, 649 , 511 , 637 , 123 , 59 
38317,Playacar, 140 , 135 , 160 , 27 , 11 
38318,Garcia Salinas, 609 , 551 , 596 , 125 , 52 
38333,Izcalli Mega, 496 , 404 , 492 , 99 , 38 
38320,Cualiacan Tres Rios, 520 , 376 , 487 , 55 , 23 
38321,Periferico de la Juventud, 625 , 461 , 573 , 97 , 38 
38322,MM Garza Sada, 309 , 227 , 311 , 35 , 15 
38323,Forum Culiacan, 435 , 367 , 238 , 33 , 17 
38324,Epicentra DT, 521 , 431 , 542 , 69 , 30 
38325,Plaza del Sol CHI, 377 , 368 , 225 , 38 , 17 
38326,Galerias del Valle Mexicalli, 285 , 280 , 190 , 44 , 19 
38328,Circuito Colonias , 540 , 387 , 501 , 118 , 45 
38329,Las Misiones, 831 , 689 , 724 , 154 , 63 
38330,Guadalupe, 755 , 709 , 646 , 82 , 33 
38331,Rodriguez, 302 , 193 , 306 , 29 , 13 
38339,San Marcos, 435 , 404 , 451 , 103 , 38 
38334,Mazatlan Lomas, 258 , 230 , 270 , 19 , 10 
38335,Asuncion AGS, 495 , 411 , 495 , 106 , 40 
38336,Anahuac, 896 , 766 , 769 , 111 , 45 
38337,Centro Zacatecas, 300 , 292 , 271 , 42 , 20 
38338,Manzanillo Blvb Madrid, 578 , 538 , 516 , 74 , 34 
38340,Division del Norte, 307 , 260 , 316 , 43 , 17 
38344,Parques Polanco, 406 , 401 , 459 , 48 , 19 
38341,Ortiz Mena, 210 , 156 , 247 , 25 , 10 
38342,Churubusco, 585 , 471 , 507 , 79 , 31 
38348,Paseo Tabasco, 280 , 224 , 319 , 31 , 12 
38345,Colima Sevilla , 509 , 428 , 498 , 56 , 24 
38346,Paradise Plaza, 362 , 341 , 374 , 38 , 19 
38351,Ciudad Jardin l, 746 , 653 , 588 , 184 , 68 
38357,Galerias Pachuca , 576 , 483 , 414 , 95 , 37 
38350,Marina Los Cabos, 370 , 457 , 342 , 49 , 24 
38358,Pachuca San Javier DT, 712 , 513 , 739 , 121 , 49 
38352,Forum Tepic, 454 , 458 , 318 , 57 , 27 
38353,HidalgoTampico, 838 , 713 , 784 , 145 , 60 
38354,Bonampak 77, 570 , 492 , 629 , 33 , 21 
38355,Centro Guanajuato, 307 , 316 , 296 , 42 , 19 
38356,Andares , 648 , 648 , 602 , 60 , 31 
38360,Plaza la Hacienda, 390 , 312 , 311 , 54 , 22 
38361,Castorena, 265 , 239 , 257 , 34 , 14 
38359,Plaza Cumbres Cancun, 299 , 231 , 307 , 32 , 14 
38365,Coyoacan Centro, 535 , 453 , 385 , 73 , 28 
38366,Hospital ABC , 234 , 175 , 404 , 38 , 15 
38367,CM Coapa, 314 , 314 , 328 , 59 , 24 
38368,Luna Park, 554 , 419 , 380 , 98 , 37 
38371,Montevideo DT , 982 , 814 , 850 , 235 , 87 
38372,Felix Cuevas, 306 , 153 , 421 , 49 , 18 
38370,Malecon Las Americas Cancun, 636 , 543 , 501 , 131 , 48 
38374,Valle Dorado, 205 , 175 , 239 , 39 , 15 
38375,Americas Ecatepec, 558 , 546 , 405 , 96 , 37 
38373,CM Los Cabos, 275 , 234 , 284 , 44 , 18 
38376,Torre Caballito, 242 , 197 , 398 , 53 , 19 
38377,Jurica, 330 , 259 , 293 , 44 , 18 
38378,Torre Mexicana, 197 , 141 , 283 , 23 , 9 
38379,Via Acoxpa , 723 , 637 , 542 , 94 , 37 
38382,Homero, 338 , 289 , 425 , 25 , 11 
38386,Duraznos, 181 , 191 , 377 , 31 , 13 
38380,Plaza Fiesta Anahuac, 485 , 432 , 344 , 32 , 18 
38381,Nima Bay, 365 , 317 , 340 , 36 , 17 
38387,Zavaleta, 389 , 297 , 423 , 56 , 23 
38383,Galerias Hipodromo, 296 , 289 , 330 , 29 , 13 
38384,Galerias Guadalajara, 573 , 523 , 378 , 76 , 32 
38385,Aeropuerto Monterrey TB PB, 230 , 253 , 304 , 19 , 9 
38389,Rio Marne, 229 , 230 , 287 , 48 , 17 
38388,Culiacan Cinepolis, 115 , 99 , 150 , 12 , 5 
38393,Coapa Chedraui, 325 , 301 , 298 , 47 , 18 
38394,Centro Comercial Lomas Verdes, 330 , 252 , 285 , 39 , 16 
38392,Mariano Escobedo , 406 , 295 , 354 , 69 , 26 
